# UPSAMPLED
time_s,ecg1,ecg2,ecg3,ppg,abp,accelx,accely,accelz,resp,cvp
0.059000,8211,8218,8198,2320.625,3.1152426e-307,3.2264114e-307,1.1989671e+16,1.1654884e-311,996.5,1.1652404e-311
0.060000,8216,8232,8207,2320.5,8.0110604e-307,1.112613e-306,1.1316405e+45,0,996,1.1660264e-311
0.061000,8222,8248,8217,2320.375,1.0681135e-306,2.4403285e-312,3.6066792e-322,0,995.5,0
0.062000,8228,8264,8227,2320.25,0,0,0,0,995,0
0.063000,8234,8281,8238,2320.125,-5.5680302e-222,-1.0236318e-202,-1.3004967e-231,-3.8255133e-270,994.5,-3.6398327e-310
0.064000,8240,8298,8249,2320,4.4504321e-308,4.4504321e-308,4.9406565e-324,4.9406565e-324,994,0
0.065000,8247,8315,8259,2319.375,9.3460979e-307,1.4242035e-306,7.2636753,9.8813129e-324,993.625,3.4584595e-323
0.066000,8254,8332,8269,2318.75,1.3796171e-306,9.3460911e-307,1.157105e-306,6.3240403e-322,993.25,4.0676425e-320
0.067000,8261,8349,8279,2318.125,3.7236493e-317,0,1.1654885e-311,2.0317034e-255,992.875,0
0.068000,8268,8366,8289,2317.5,0,0,1.5810101e-322,1.1654884e-311,992.5,0
0.069000,8273,8381,8299,2316.875,-1.2967226e-231,-1.2923194e-231,-3.8227405e-270,-1.3020692e-231,992.125,-3.6941558e-310
0.070000,8278,8396,8309,2316.25,0,9.5217163e+150,2.1219958e-314,4.9406565e-324,991.75,0
0.071000,8282.5,8406.5,8315,2315.625,0,5.1675206e+25,1.1654884e-311,9.8813129e-324,991.375,1.4821969e-323
0.072000,8287,8417,8321,2315,0,1.0739143e-307,0,1.1654911e-311,991,6.3240403e-322
0.073000,8289,8421,8323,2313.875,1000,0,0,1.1654911e-311,990.625,2.0317034e-255
0.074000,8291,8425,8325,2312.75,0,0,0,0,990.25,1.1652409e-311
0.075000,8290,8421,8322,2311.625,-1.2970371e-231,-1.292634e-231,-1.030858e-202,-1.3023837e-231,989.875,-3.8495441e-270
0.076000,8289,8417,8319,2310.5,4.9406565e-324,1.1992799e+151,1.6911933e-306,1.1992799e+151,989.5,2.1219958e-314
0.077000,8286.5,8405.5,8310,2309.375,9.8813129e-324,2.3065041e+59,1.7802153e-306,1.1989671e+16,989.125,1.1652481e-311
0.078000,8284,8394,8301,2308.25,-1,1.7892946e-312,3.1152426e-307,2.8227574e-307,988.75,1.1654882e-311
0.079000,8280,8380,8291,2307.125,0,0,0,0,988.375,0
0.080000,8276,8366,8281,2306,0,0,0,0,988,0
0.081000,8270.5,8351.5,8272,2304.375,-1.2973516e-231,-1.2929485e-231,-3.824589e-270,-3.8282861e-270,987.75,-1.3102465e-231
0.082000,8265,8337,8263,2302.75,4.9406565e-324,4.9406565e-324,2.1219958e-314,2.1219958e-314,987.5,4.9406565e-324
0.083000,8258,8323,8256,2301.125,9.8813129e-324,9.8813129e-324,1.1654884e-311,1.1654884e-311,987.25,9.8813129e-324
0.084000,8251,8309,8249,2299.5,1.1654911e-311,-1,0,0,987,1.1654882e-311
0.085000,8243.5,8297.5,8245,2297.875,1.1654911e-311,0,0,0,986.75,0
