sample_index,ch1_raw,ch1_squared,ch1_absval,ch1_unfiltered,ch2_raw,ch2_squared,ch2_absval,ch2_unfiltered,ch3_raw,ch3_squared,ch3_absval,ch3_unfiltered,ppg
n_contributing,120,120,120,120,0,0,0,0,0,0,0,0,120
991,0.0263858451,0.123118429,0.25456108,0.0263858451,,,,,,,,,
992,0.0371327354,0.12055714,0.248751273,0.0371327354,,,,,,,,,
993,0.0327382749,0.113253388,0.239647475,0.0327382749,,,,,,,,,
994,0.0242752995,0.101517406,0.236468454,0.0242752995,,,,,,,,,
995,0.0109135414,0.0995100336,0.229876256,0.0109135414,,,,,,,,,
996,0.000861242993,0.0939258216,0.224547616,0.000861242993,,,,,,,,,
997,-0.00916252152,0.0899711675,0.217680772,-0.00916252152,,,,,,,,,
998,-0.0167734712,0.0846601518,0.210160581,-0.0167734712,,,,,,,,,
999,-0.0233641257,0.0806127328,0.20392706,-0.0233641257,,,,,,,,,
1000,-0.0348924229,0.0755152631,0.19919701,-0.0348924229,,,,,,,,,
1001,-0.0451847293,0.071310007,0.194451843,-0.0451847293,,,,,,,,,
1002,-0.0523008754,0.0670552051,0.190736479,-0.0523008754,,,,,,,,,
1003,-0.0564882575,0.0665920679,0.188393528,-0.0564882575,,,,,,,,,
1004,-0.066456249,0.067030541,0.183158311,-0.066456249,,,,,,,,,
1005,-0.0698216271,0.0644258543,0.182207006,-0.0698216271,,,,,,,,,
1006,-0.0720538319,0.0615821266,0.180932554,-0.0720538319,,,,,,,,,
1007,-0.0748783133,0.0611451056,0.178600652,-0.0748783133,,,,,,,,,
1008,-0.076415703,0.0601379321,0.175988611,-0.076415703,,,,,,,,,
1009,-0.0759568025,0.0551445856,0.173395327,-0.0759568025,,,,,,,,,
1010,-0.0766781954,0.0524162842,0.170434588,-0.0766781954,,,,,,,,,
1011,-0.0838984587,0.0437658367,0.165450635,-0.0838984587,,,,,,,,,
1012,-0.0888320021,0.0408593735,0.163058956,-0.0888320021,,,,,,,,,
1013,-0.0922176255,0.0405622192,0.159051825,-0.0922176255,,,,,,,,,
1014,-0.0927379579,0.0408625474,0.154901724,-0.0927379579,,,,,,,,,
1015,-0.0943612902,0.04025326,0.155601591,-0.0943612902,,,,,,,,,
1016,-0.0969849027,0.034472164,0.15227485,-0.0969849027,,,,,,,,,
1017,-0.0987098462,0.0317829114,0.149840835,-0.0987098462,,,,,,,,,
1018,-0.105957286,0.0249682672,0.142009673,-0.105957286,,,,,,,,,
1019,-0.108177022,0.0184010737,0.139428012,-0.108177022,,,,,,,,,
1020,-0.107675989,0.0146069391,0.136698024,-0.107675989,,,,,,,,,
1021,-0.106353049,0.01347985,0.132686194,-0.106353049,,,,,,,,,
1022,-0.108437035,0.0124973767,0.130043921,-0.108437035,,,,,,,,,
1023,-0.107974147,0.009511948,0.127827083,-0.107974147,,,,,,,,,
1024,-0.109317348,0.00528909098,0.125602905,-0.109317348,,,,,,,,,
1025,-0.109858131,0.00250158071,0.121452242,-0.109858131,,,,,,,,,
1026,-0.11115427,-0.00132290517,0.11694219,-0.11115427,,,,,,,,,
1027,-0.112466344,-0.00347890221,0.113524882,-0.112466344,,,,,,,,,
